index,event_name,assignment_1_label,assignment_1_shape,assignment_2_label,assignment_2_shape,central_location_flash,initial_fixation,inter_assignment_fixation,outcome,peripheral_location_flash,post_assignment_fixation,post_central_fixation,post_outcome_fixation,post_peripheral_fixation,response,test_sentence_1,test_sentence_2,test_sentence_3,test_sentence_4,test_sentence_5,onset_sec,trial_number,trial_block
0,initial_fixation,,0.5,,,,0.0,,,,,,,,,,,,,,62.2,1,1
1,assignment_1_shape,1.0,0.0,,,,,,,,,,,,,,,,,,62.7,1,1
2,assignment_1_label,0.0,,,,,,1.0,,,,,,,,,,,,,63.7,1,1
3,inter_assignment_fixation,,,,1.0,,,0.0,,,,,,,,,,,,,64.7,1,1
4,assignment_2_shape,,,1.0,0.0,,,,,,,,,,,,,,,,65.7,1,1
5,assignment_2_label,,,0.0,,,,,,,1.004,,,,,,,,,,66.7,1,1
6,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,67.704,1,1
7,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,68.704,1,1
8,post_central_fixation,,,,,,,,,0.8,,0.0,,1.0,,,,,,,69.704,1,1
9,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.2,,,,,,,70.504,1,1
10,post_peripheral_fixation,,,,,,,,0.8,-0.2,,,1.0,0.0,,,,,,,70.704,1,1
11,outcome,,,,,,,,0.0,,,,0.2,,,0.7,,,,,71.504,1,1
12,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.5,0.9,,,,71.704,1,1
13,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.8,,,72.204,1,1
14,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,72.604,1,1
15,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.8,73.004,1,1
16,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,73.404,1,1
17,test_sentence_5,,,,,,,,,,,,,,0.4,,,,,0.0,73.804,1,1
18,response,,,,,,0.824,,,,,,,,0.0,,,,,,74.204,1,1
19,initial_fixation,0.504,,,,,0.0,,,,,,,,,,,,,,75.028,2,1
20,assignment_1_label,0.0,1.0,,,,,,,,,,,,,,,,,,75.532,2,1
21,assignment_1_shape,,0.0,,,,,1.0,,,,,,,,,,,,,76.532,2,1
22,inter_assignment_fixation,,,1.0,,,,0.0,,,,,,,,,,,,,77.532,2,1
23,assignment_2_label,,,0.0,1.0,,,,,,,,,,,,,,,,78.532,2,1
24,assignment_2_shape,,,,0.0,,,,,,1.0,,,,,,,,,,79.532,2,1
25,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,80.532,2,1
26,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,81.532,2,1
27,post_central_fixation,,,,,,,,,0.804,,0.0,,1.0,,,,,,,82.532,2,1
28,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.196,,,,,,,83.336,2,1
29,post_peripheral_fixation,,,,,,,,0.804,-0.196,,,1.004,0.0,,,,,,,83.532,2,1
30,outcome,,,,,,,,0.0,,,,0.2,,,0.7,,,,,84.336,2,1
31,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.5,0.9,,,,84.536,2,1
32,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.8,,,85.036,2,1
33,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,85.436,2,1
34,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.8,85.836,2,1
35,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,86.236,2,1
36,test_sentence_5,,,,,,,,,,,,,,0.4,,,,,0.0,86.636,2,1
37,response,,,,,,0.636,,,,,,,,0.0,,,,,,87.036,2,1
38,initial_fixation,0.496,,,,,0.0,,,,,,,,,,,,,,87.672,3,1
39,assignment_1_label,0.0,1.0,,,,,,,,,,,,,,,,,,88.168,3,1
40,assignment_1_shape,,0.0,,,,,1.004,,,,,,,,,,,,,89.168,3,1
41,inter_assignment_fixation,,,1.0,,,,0.0,,,,,,,,,,,,,90.172,3,1
42,assignment_2_label,,,0.0,1.0,,,,,,,,,,,,,,,,91.172,3,1
43,assignment_2_shape,,,,0.0,,,,,,1.0,,,,,,,,,,92.172,3,1
44,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,93.172,3,1
45,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,94.172,3,1
46,post_central_fixation,,,,,,,,,0.804,,0.0,,1.004,,,,,,,95.172,3,1
47,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.2,,,,,,,95.976,3,1
48,post_peripheral_fixation,,,,,,,,0.8,-0.2,,,1.0,0.0,,,,,,,96.176,3,1
49,outcome,,,,,,,,0.0,,,,0.2,,,0.7,,,,,96.976,3,1
50,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.5,0.9,,,,97.176,3,1
51,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.8,,,97.676,3,1
52,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,98.076,3,1
53,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.8,98.476,3,1
54,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,98.876,3,1
55,test_sentence_5,,,,,,0.808,,,,,,,,0.4,,,,,0.0,99.276,3,1
56,response,0.908,,,,,0.408,,,,,,,,0.0,,,,,,99.676,3,1
57,initial_fixation,0.5,,,,,0.0,,,,,,,,,,,,,,100.084,4,1
58,assignment_1_label,0.0,1.0,,,,,,,,,,,,,,,,,,100.584,4,1
59,assignment_1_shape,,0.0,,,,,1.0,,,,,,,,,,,,,101.584,4,1
60,inter_assignment_fixation,,,1.0,,,,0.0,,,,,,,,,,,,,102.584,4,1
61,assignment_2_label,,,0.0,1.0,,,,,,,,,,,,,,,,103.584,4,1
62,assignment_2_shape,,,,0.0,,,,,,1.0,,,,,,,,,,104.584,4,1
63,post_assignment_fixation,,,,,1.004,,,,,0.0,,,,,,,,,,105.584,4,1
64,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,106.588,4,1
65,post_central_fixation,,,,,,,,,0.8,,0.0,,1.0,,,,,,,107.588,4,1
66,peripheral_location_flash,,,,,,,,,0.0,,,,0.2,,,,,,,108.388,4,1
67,post_peripheral_fixation,,,,,,,,0.808,-0.2,,,1.0,0.0,,,,,,,108.588,4,1
68,outcome,,,,,,,,0.0,,,,0.192,,,0.692,,,,,109.396,4,1
69,post_outcome_fixation,,,,,,,,-0.192,,,,0.0,,,0.5,0.9,,,,109.588,4,1
70,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.8,,,110.088,4,1
71,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,110.488,4,1
72,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.8,110.888,4,1
73,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,111.288,4,1
